Titulo,Nome do Produto,URL
perfumes,perfume-feminino,http://www.epocacosmeticos.com.br/perfumes/perfume-feminino
perfumes,perfume-masculino,http://www.epocacosmeticos.com.br/perfumes/perfume-masculino
perfumes,perfume-unissex,http://www.epocacosmeticos.com.br/perfumes/perfume-unissex
perfumes,perfume-infantil,http://www.epocacosmeticos.com.br/perfumes/perfume-infantil
perfumes,perfume-para-o-corpo,http://www.epocacosmeticos.com.br/perfumes/perfume-para-o-corpo
perfumes,perfumes-para-ambiente,http://www.epocacosmeticos.com.br/perfumes/perfumes-para-ambiente
perfumes,perfumes,http://www.epocacosmeticos.com.br/perfumes
perfumes,"de-29,9-a-69,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-29,9-a-69,99?map=c,priceFrom"
perfumes,"de-70-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-70-a-99,99?map=c,priceFrom"
perfumes,"de-100-a-199,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-100-a-199,99?map=c,priceFrom"
perfumes,"de-200-a-299,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-200-a-299,99?map=c,priceFrom"
perfumes,"de-300-a-399,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-300-a-399,99?map=c,priceFrom"
perfumes,"de-400-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/perfumes/de-400-a-5000?map=c,priceFrom"
outlet-perfumes,outlet-perfumes,http://www.epocacosmeticos.com.br/outlet-perfumes
perfumes,kits-de-perfumes,http://www.epocacosmeticos.com.br/perfumes/kits-de-perfumes
si-eau-de-parfum-giorgio-armani-perfume-feminino,p,http://www.epocacosmeticos.com.br/si-eau-de-parfum-giorgio-armani-perfume-feminino/p
maquiagem,maquiagem,http://www.epocacosmeticos.com.br/maquiagem
maquiagem,labios,http://www.epocacosmeticos.com.br/maquiagem/labios/batom
maquiagem,unhas,http://www.epocacosmeticos.com.br/maquiagem/unhas/esmalte
maquiagem,face,http://www.epocacosmeticos.com.br/maquiagem/face/base
maquiagem,face,http://www.epocacosmeticos.com.br/maquiagem/face/po-facial
maquiagem,olhos,http://www.epocacosmeticos.com.br/maquiagem/olhos/sombra
maquiagem,olhos,http://www.epocacosmeticos.com.br/maquiagem/olhos/mascara-para-cilios
maquiagem,primer-e-finalizador,http://www.epocacosmeticos.com.br/maquiagem/primer-e-finalizador/fixador-da-maquiagem
maquiagem,aplicadores-para-maquiagem,http://www.epocacosmeticos.com.br/maquiagem/aplicadores-para-maquiagem/pincel-ou-aplicador
maquiagem,"de-14,9-a-59,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/maquiagem/de-14,9-a-59,99?map=c,priceFrom"
maquiagem,"de-60-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/maquiagem/de-60-a-99,99?map=c,priceFrom"
maquiagem,"de-100-a-159,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/maquiagem/de-100-a-159,99?map=c,priceFrom"
maquiagem,"de-160-a-199,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/maquiagem/de-160-a-199,99?map=c,priceFrom"
maquiagem,"de-200-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/maquiagem/de-200-a-5000?map=c,priceFrom"
outlet-maquiagem,outlet-maquiagem,http://www.epocacosmeticos.com.br/outlet-maquiagem
maquiagem,estojo-completo-e-kit-de-maquiagem,http://www.epocacosmeticos.com.br/maquiagem/estojo-completo-e-kit-de-maquiagem
lancamentos-maquiagem,lancamentos-maquiagem,http://www.epocacosmeticos.com.br/lancamentos-maquiagem
latika,latika,http://www.epocacosmeticos.com.br/latika
cabelos,cabelos,http://www.epocacosmeticos.com.br/cabelos
cabelos,shampoo,http://www.epocacosmeticos.com.br/cabelos/shampoo
cabelos,condicionador,http://www.epocacosmeticos.com.br/cabelos/condicionador
cabelos,mascara-capilar,http://www.epocacosmeticos.com.br/cabelos/mascara-capilar
cabelos,finalizador,http://www.epocacosmeticos.com.br/cabelos/finalizador
cabelos,tratamento,http://www.epocacosmeticos.com.br/cabelos/tratamento
cabelos,coloracao,http://www.epocacosmeticos.com.br/cabelos/coloracao/tintura-para-cabelos
cabelos,"de-14,9-a-49,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/cabelos/de-14,9-a-49,99?map=c,priceFrom"
cabelos,"de-50-a-89,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/cabelos/de-50-a-89,99?map=c,priceFrom"
cabelos,"de-90-a-159,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/cabelos/de-90-a-159,99?map=c,priceFrom"
cabelos,"de-160-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/cabelos/de-160-a-5000?map=c,priceFrom"
outlet-cabelos,outlet-cabelos,http://www.epocacosmeticos.com.br/outlet-cabelos
cabelos,kits-para-cabelos,http://www.epocacosmeticos.com.br/cabelos/kits-para-cabelos
lancamentos-cabelos,lancamentos-cabelos,http://www.epocacosmeticos.com.br/lancamentos-cabelos
soften-up-eva-nyc-condicionador,p,http://www.epocacosmeticos.com.br/soften-up-eva-nyc-condicionador/p
dermocosmeticos,dermocosmeticos,http://www.epocacosmeticos.com.br/dermocosmeticos
dermocosmeticos,cuidados-com-o-sol,http://www.epocacosmeticos.com.br/dermocosmeticos/cuidados-com-o-sol/protetor-solar
dermocosmeticos,face,http://www.epocacosmeticos.com.br/dermocosmeticos/face/cuidados-faciais-especificos
dermocosmeticos,face,http://www.epocacosmeticos.com.br/dermocosmeticos/face/limpadores
dermocosmeticos,nutricosmeticos,http://www.epocacosmeticos.com.br/dermocosmeticos/nutricosmeticos
dermocosmeticos,face,http://www.epocacosmeticos.com.br/dermocosmeticos/face/hidratantes
dermocosmeticos,face,http://www.epocacosmeticos.com.br/dermocosmeticos/face/rejuvenescedores
dermocosmeticos,olhos,http://www.epocacosmeticos.com.br/dermocosmeticos/olhos/rejuvenescedores
dermocosmeticos,"de-14,9-a-69,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/dermocosmeticos/de-14,9-a-69,99?map=c,priceFrom"
dermocosmeticos,"de-70-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/dermocosmeticos/de-70-a-99,99?map=c,priceFrom"
dermocosmeticos,"de-100-a-169,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/dermocosmeticos/de-100-a-169,99?map=c,priceFrom"
dermocosmeticos,"de-170-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/dermocosmeticos/de-170-a-5000?map=c,priceFrom"
ganhe-brindes-dermocosmeticos,ganhe-brindes-dermocosmeticos,http://www.epocacosmeticos.com.br/ganhe-brindes-dermocosmeticos
outlet-dermocosmeticos,outlet-dermocosmeticos,http://www.epocacosmeticos.com.br/outlet-dermocosmeticos
lancamentos-dermocosmeticos,lancamentos-dermocosmeticos,http://www.epocacosmeticos.com.br/lancamentos-dermocosmeticos
ideal-soleil-antiacne-fps-30-vichy-protetor-solar,p?,http://www.epocacosmeticos.com.br/ideal-soleil-antiacne-fps-30-vichy-protetor-solar/p?
tratamentos,tratamentos,http://www.epocacosmeticos.com.br/tratamentos
tratamentos,face,http://www.epocacosmeticos.com.br/tratamentos/face/cuidados-faciais-especificos
tratamentos,face,http://www.epocacosmeticos.com.br/tratamentos/face/hidratantes-faciais
tratamentos,unhas,http://www.epocacosmeticos.com.br/tratamentos/unhas
tratamentos,face,http://www.epocacosmeticos.com.br/tratamentos/face/rejuvenescedores-faciais
tratamentos,olhos,http://www.epocacosmeticos.com.br/tratamentos/olhos/rejuvenescedores
tratamentos,labios,http://www.epocacosmeticos.com.br/tratamentos/labios/rejuvenescedores-labiais
tratamentos,"de-19,9-a-79,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/tratamentos/de-19,9-a-79,99?map=c,priceFrom"
tratamentos,"de-80-a-199,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/tratamentos/de-80-a-199,99?map=c,priceFrom"
tratamentos,"de-200-a-299,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/tratamentos/de-200-a-299,99?map=c,priceFrom"
tratamentos,"de-300-a-499,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/tratamentos/de-300-a-499,99?map=c,priceFrom"
tratamentos,"de-500-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/tratamentos/de-500-a-5000?map=c,priceFrom"
ganhe-brindes-tratamento,ganhe-brindes-tratamento,http://www.epocacosmeticos.com.br/ganhe-brindes-tratamento
outlet-tratamentos,outlet-tratamentos,http://www.epocacosmeticos.com.br/outlet-tratamentos
lancamentos-tratamentos,lancamentos-tratamentos,http://www.epocacosmeticos.com.br/lancamentos-tratamentos
genifique-advanced-lancome-rejuvenescedor-facial,p,http://www.epocacosmeticos.com.br/genifique-advanced-lancome-rejuvenescedor-facial/p
corpo-e-banho,corpo-e-banho,http://www.epocacosmeticos.com.br/corpo-e-banho
corpo-e-banho,banho,http://www.epocacosmeticos.com.br/corpo-e-banho/banho/sabonete-e-gel-de-banho
corpo-e-banho,pos-banho,http://www.epocacosmeticos.com.br/corpo-e-banho/pos-banho/hidratante
corpo-e-banho,pos-banho,http://www.epocacosmeticos.com.br/corpo-e-banho/pos-banho/oleo
corpo-e-banho,barba,http://www.epocacosmeticos.com.br/corpo-e-banho/barba
corpo-e-banho,utilidades-diversas,http://www.epocacosmeticos.com.br/corpo-e-banho/utilidades-diversas
corpo-e-banho,"de-9,9-a-39,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/corpo-e-banho/de-9,9-a-39,99?map=c,priceFrom"
corpo-e-banho,"de-40-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/corpo-e-banho/de-40-a-99,99?map=c,priceFrom"
corpo-e-banho,"de-100-a-199,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/corpo-e-banho/de-100-a-199,99?map=c,priceFrom"
corpo-e-banho,"de-200-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/corpo-e-banho/de-200-a-5000?map=c,priceFrom"
corpo-e-banho,kits-para-corpo-e-banho,http://www.epocacosmeticos.com.br/corpo-e-banho/kits-para-corpo-e-banho
lancamentos-corpo-e-banho,lancamentos-corpo-e-banho,http://www.epocacosmeticos.com.br/lancamentos-corpo-e-banho
the-original-tangle-teezer-escova-para-os-cabelos,p,http://www.epocacosmeticos.com.br/the-original-tangle-teezer-escova-para-os-cabelos/p
unhas,unhas,http://www.epocacosmeticos.com.br/unhas
unhas,"de-10-a-19,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-10-a-19,99?map=c,priceFrom"
unhas,"de-20-a-49,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-20-a-49,99?map=c,priceFrom"
unhas,"de-50-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-50-a-99,99?map=c,priceFrom"
unhas,"de-100-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-100-a-5000?map=c,priceFrom"
nail-enamel-revlon-esmalte,p,http://www.epocacosmeticos.com.br/nail-enamel-revlon-esmalte/p
marcas,marcas,http://www.epocacosmeticos.com.br/marcas
coach,coach,http://www.epocacosmeticos.com.br/coach
unhas,dior-vernis,http://www.epocacosmeticos.com.br/unhas/dior-vernis
unhas,mavala,http://www.epocacosmeticos.com.br/unhas/mavala
unhas,revlon,http://www.epocacosmeticos.com.br/unhas/revlon
unhas,sally-hansen,http://www.epocacosmeticos.com.br/unhas/sally-hansen
unhas,bourjois,http://www.epocacosmeticos.com.br/unhas/bourjois
unhas,dior,http://www.epocacosmeticos.com.br/unhas/dior
unhas,first-kiss,http://www.epocacosmeticos.com.br/unhas/first-kiss
unhas,maybelline,http://www.epocacosmeticos.com.br/unhas/maybelline
unhas,givenchy,http://www.epocacosmeticos.com.br/unhas/givenchy
unhas,bisou,http://www.epocacosmeticos.com.br/unhas/bisou
unhas,artdeco,http://www.epocacosmeticos.com.br/unhas/artdeco
unhas,impress,http://www.epocacosmeticos.com.br/unhas/impress
unhas,taiff,http://www.epocacosmeticos.com.br/unhas/taiff
unhas,tweezerman,http://www.epocacosmeticos.com.br/unhas/tweezerman
departamento,unhas,http://www.epocacosmeticos.com.br/departamento/unhas/1000013
unhas,esmalte,http://www.epocacosmeticos.com.br/unhas/esmalte
unhas,base-para-unhas,http://www.epocacosmeticos.com.br/unhas/base-para-unhas
unhas,cobertura-extrabrilho,http://www.epocacosmeticos.com.br/unhas/cobertura-extrabrilho
unhas,removedor-de-esmaltes,http://www.epocacosmeticos.com.br/unhas/removedor-de-esmaltes
unhas,oleo-secante,http://www.epocacosmeticos.com.br/unhas/oleo-secante
unhas,lixa,http://www.epocacosmeticos.com.br/unhas/lixa
unhas,tratamentos-para-unhas,http://www.epocacosmeticos.com.br/unhas/tratamentos-para-unhas
unhas,unhas-posticas-e-adesivos,http://www.epocacosmeticos.com.br/unhas/unhas-posticas-e-adesivos
unhas,manicure-e-pedicure,http://www.epocacosmeticos.com.br/unhas/manicure-e-pedicure
unhas,acabamento-e-fixacao,http://www.epocacosmeticos.com.br/unhas/acabamento-e-fixacao
unhas,colorama,http://www.epocacosmeticos.com.br/unhas/colorama
unhas,impala,http://www.epocacosmeticos.com.br/unhas/impala
unhas,inoar,http://www.epocacosmeticos.com.br/unhas/inoar
unhas,kiss-ny,http://www.epocacosmeticos.com.br/unhas/kiss-ny
unhas,ligia-kogos,http://www.epocacosmeticos.com.br/unhas/ligia-kogos
unhas,mirra-s,http://www.epocacosmeticos.com.br/unhas/mirra-s
unhas,mundial,http://www.epocacosmeticos.com.br/unhas/mundial
unhas,o-p-i,http://www.epocacosmeticos.com.br/unhas/o-p-i
unhas,oceane,http://www.epocacosmeticos.com.br/unhas/oceane
unhas,purederm,http://www.epocacosmeticos.com.br/unhas/purederm
unhas,ricca,http://www.epocacosmeticos.com.br/unhas/ricca
unhas,vult,http://www.epocacosmeticos.com.br/unhas/vult
unhas,yves-saint-laurent,http://www.epocacosmeticos.com.br/unhas/yves-saint-laurent
unhas,"de-9,9-a-19,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-9,9-a-19,99?map=c,priceFrom"
unhas,"de-99,99-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-99,99-a-5000?map=c,priceFrom"
revlon,revlon,http://www.epocacosmeticos.com.br/revlon
gio-antonelli-achados-da-gio-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-achados-da-gio-colorama-esmalte/p
colorama,colorama,http://www.epocacosmeticos.com.br/colorama
esmalte-cremoso-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-cremoso-vult-esmalte/p
vult,vult,http://www.epocacosmeticos.com.br/vult
color-show-tons-de-vermelho-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-tons-de-vermelho-maybelline-esmalte/p
maybelline,maybelline,http://www.epocacosmeticos.com.br/maybelline
gio-antonelli-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-colorama-esmalte/p
color-show-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-maybelline-esmalte/p
1-seconde-gel-bourjois-esmalte,p,http://www.epocacosmeticos.com.br/1-seconde-gel-bourjois-esmalte/p
bourjois,bourjois,http://www.epocacosmeticos.com.br/bourjois
mavala-scientifique-durcisseur-d-ongles-mavala-endurecedor-de-unhas,p,http://www.epocacosmeticos.com.br/mavala-scientifique-durcisseur-d-ongles-mavala-endurecedor-de-unhas/p
mavala,mavala,http://www.epocacosmeticos.com.br/mavala
esmalte-entre-no-ritmo-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-entre-no-ritmo-vult-esmalte/p
gio-antonelli-poder-da-cor-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-poder-da-cor-colorama-esmalte/p
mavala-stop-mavala-tratamento-para-unhas-roidas,p,http://www.epocacosmeticos.com.br/mavala-stop-mavala-tratamento-para-unhas-roidas/p
esmalte-cremoso-qual-o-seu-nude-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-cremoso-qual-o-seu-nude-vult-esmalte/p
full-cover-nail-stickers-first-kiss-adesivo-de-unha,p,http://www.epocacosmeticos.com.br/full-cover-nail-stickers-first-kiss-adesivo-de-unha/p
first-kiss,first-kiss,http://www.epocacosmeticos.com.br/first-kiss
oleo-secante-melaleuca-impala-esmalte-de-tratamento,p,http://www.epocacosmeticos.com.br/oleo-secante-melaleuca-impala-esmalte-de-tratamento/p
impala,impala,http://www.epocacosmeticos.com.br/impala
color-show-tons-de-rosas-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-tons-de-rosas-maybelline-esmalte/p
mavala-mini-color-5ml-esmalte-cremoso,p,http://www.epocacosmeticos.com.br/mavala-mini-color-5ml-esmalte-cremoso/p
unhas-posticas-auto-colantes-45-make-a-wish-bisou-unhas-posticas,p,http://www.epocacosmeticos.com.br/unhas-posticas-auto-colantes-45-make-a-wish-bisou-unhas-posticas/p
bisou,bisou,http://www.epocacosmeticos.com.br/bisou
clean-my-nails-to-go-oceane-lencos-removedores-de-esmalte,p,http://www.epocacosmeticos.com.br/clean-my-nails-to-go-oceane-lencos-removedores-de-esmalte/p
oceane,oceane,http://www.epocacosmeticos.com.br/oceane
french-manicure-dior-caneta-para-aplicacao-de-francesinha,p,http://www.epocacosmeticos.com.br/french-manicure-dior-caneta-para-aplicacao-de-francesinha/p
dior,dior,http://www.epocacosmeticos.com.br/dior
so-laque-glossy-bourjois-esmalte,p,http://www.epocacosmeticos.com.br/so-laque-glossy-bourjois-esmalte/p
http:,,http://busca.epocacosmeticos.com.br
